Nodo: 0, Fecha: 2024-12-30, Hora: 02:34, Datos: 27.90, 81.00, 308, 4095
Nodo: 0, Fecha: 2024-12-30, Hora: 02:40, Datos: 27.60, 79.00, 245, 4095
Nodo: 0, Fecha: 2024-12-30, Hora: 02:45, Datos: 27.60, 79.00, 207, 4095
Nodo: 0, Fecha: 2024-12-30, Hora: 02:50, Datos: 27.60, 79.00, 239, 4095
Nodo: 0, Fecha: 2024-12-30, Hora: 02:55, Datos: 27.30, 80.00, 84, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 12:32, Datos: 27.80, 74.00, 13, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 12:37, Datos: 27.70, 73.00, 410, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 12:42, Datos: 27.70, 73.00, 652, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 12:47, Datos: 27.80, 73.00, 320, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 12:52, Datos: 27.90, 72.00, 120, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 12:57, Datos: 27.80, 72.00, 400, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:02, Datos: 27.90, 72.00, 580, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:07, Datos: 27.70, 73.00, 371, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:12, Datos: 28.00, 72.00, 148, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:17, Datos: 28.30, 71.00, 927, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:22, Datos: 28.40, 71.00, 163, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:27, Datos: 28.30, 71.00, 194, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:32, Datos: 28.00, 73.00, 342, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:37, Datos: 28.00, 73.00, 435, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:42, Datos: 28.30, 72.00, 231, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:47, Datos: 28.30, 72.00, 745, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:52, Datos: 28.70, 71.00, 798, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:57, Datos: 28.30, 73.00, 112, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 14:02, Datos: 28.20, 73.00, 235, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 14:07, Datos: 28.30, 73.00, 1276, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 14:12, Datos: 28.60, 72.00, 950, 4095
